 customer_id , txn_date   , txn_type   , txn_amount 
161, 2020-01-08 , deposit    ,526
147, 2020-01-15 , deposit    ,767
301, 2020-01-20 , deposit    ,32
14, 2020-01-25 , deposit    ,205
288, 2020-01-13 , deposit    ,586
219, 2020-01-06 , deposit    ,419
308, 2020-01-14 , deposit    ,782
418, 2020-01-07 , deposit    ,688
167, 2020-01-30 , deposit    ,51
350, 2020-01-13 , deposit    ,167
225, 2020-01-10 , deposit    ,280
187, 2020-01-26 , deposit    ,599
396, 2020-01-01 , deposit    ,334
304, 2020-01-16 , deposit    ,848
343, 2020-01-01 , deposit    ,859
62, 2020-01-16 , deposit    ,218
364, 2020-01-10 , deposit    ,563
207, 2020-01-26 , deposit    ,322
223, 2020-01-11 , deposit    ,431
73, 2020-01-06 , deposit    ,442
299, 2020-01-13 , deposit    ,881
16, 2020-01-13 , deposit    ,421
212, 2020-01-02 , deposit    ,336
381, 2020-01-28 , deposit    ,66
390, 2020-01-15 , deposit    ,102
165, 2020-01-23 , deposit    ,42
442, 2020-01-26 , deposit    ,553
332, 2020-01-27 , deposit    ,594
264, 2020-01-16 , deposit    ,41
64, 2020-01-08 , deposit    ,442
428, 2020-01-15 , deposit    ,280
227, 2020-01-07 , deposit    ,468
116, 2020-01-28 , deposit    ,167
134, 2020-01-08 , deposit    ,358
192, 2020-01-20 , deposit    ,906
452, 2020-01-01 , deposit    ,441
436, 2020-01-05 , deposit    ,401
176, 2020-01-26 , deposit    ,655
408, 2020-01-21 , deposit    ,514
490, 2020-01-23 , deposit    ,271
111, 2020-01-28 , deposit    ,101
372, 2020-01-02 , deposit    ,920
307, 2020-01-14 , deposit    ,363
363, 2020-01-06 , deposit    ,622
22, 2020-01-19 , deposit    ,794
171, 2020-01-17 , deposit    ,471
19, 2020-01-17 , deposit    ,47
289, 2020-01-28 , deposit    ,838
419, 2020-01-11 , deposit    ,711
154, 2020-01-15 , deposit    ,120
156, 2020-01-24 , deposit    ,82
75, 2020-01-22 , deposit    ,234
191, 2020-01-16 , deposit    ,769
71, 2020-01-14 , deposit    ,128
263, 2020-01-16 , deposit    ,312
462, 2020-01-26 , deposit    ,614
405, 2020-01-04 , deposit    ,413
37, 2020-01-29 , deposit    ,946
342, 2020-01-25 , deposit    ,347
371, 2020-01-21 , deposit    ,528
173, 2020-01-14 , deposit    ,720
9, 2020-01-21 , deposit    ,669
302, 2020-01-27 , deposit    ,143
403, 2020-01-13 , deposit    ,232
110, 2020-01-01 , deposit    ,888
492, 2020-01-05 , deposit    ,812
477, 2020-01-04 , deposit    ,101
337, 2020-01-12 , deposit    ,581
345, 2020-01-01 , deposit    ,555
131, 2020-01-10 , deposit    ,932
58, 2020-01-11 , deposit    ,726
99, 2020-01-08 , deposit    ,160
488, 2020-01-08 , deposit    ,304
286, 2020-01-02 , deposit    ,177
240, 2020-01-10 , deposit    ,872
326, 2020-01-12 , deposit    ,478
359, 2020-01-09 , deposit    ,10
72, 2020-01-20 , deposit    ,796
3, 2020-01-27 , deposit    ,144
178, 2020-01-23 , deposit    ,76
146, 2020-01-05 , deposit    ,657
385, 2020-01-15 , deposit    ,585
193, 2020-01-12 , deposit    ,689
279, 2020-01-13 , deposit    ,98
272, 2020-01-11 , deposit    ,706
87, 2020-01-13 , deposit    ,777
244, 2020-01-27 , deposit    ,728
23, 2020-01-21 , deposit    ,334
278, 2020-01-26 , deposit    ,682
484, 2020-01-28 , deposit    ,871
368, 2020-01-17 , deposit    ,100
158, 2020-01-18 , deposit    ,642
148, 2020-01-12 , deposit    ,88
118, 2020-01-03 , deposit    ,683
221, 2020-01-06 , deposit    ,147
126, 2020-01-21 , deposit    ,120
245, 2020-01-30 , deposit    ,76
180, 2020-01-09 , deposit    ,670
258, 2020-01-25 , deposit    ,590
157, 2020-01-06 , deposit    ,721
417, 2020-01-04 , deposit    ,213
184, 2020-01-27 , deposit    ,472
282, 2020-01-24 , deposit    ,74
415, 2020-01-07 , deposit    ,152
195, 2020-01-19 , deposit    ,489
298, 2020-01-16 , deposit    ,36
411, 2020-01-27 , deposit    ,551
66, 2020-01-16 , deposit    ,917
25, 2020-01-28 , deposit    ,174
323, 2020-01-21 , deposit    ,603
270, 2020-01-16 , deposit    ,294
319, 2020-01-06 , deposit    ,83
226, 2020-01-11 , deposit    ,854
468, 2020-01-25 , deposit    ,939
439, 2020-01-26 , deposit    ,430
202, 2020-01-06 , deposit    ,446
250, 2020-01-25 , deposit    ,625
447, 2020-01-03 , deposit    ,188
271, 2020-01-08 , deposit    ,318
353, 2020-01-01 , deposit    ,57
409, 2020-01-22 , deposit    ,155
432, 2020-01-26 , deposit    ,637
40, 2020-01-21 , deposit    ,857
268, 2020-01-11 , deposit    ,744
85, 2020-01-11 , deposit    ,467
401, 2020-01-03 , deposit    ,956
470, 2020-01-08 , deposit    ,942
242, 2020-01-20 , deposit    ,256
295, 2020-01-26 , deposit    ,636
303, 2020-01-18 , deposit    ,433
478, 2020-01-08 , deposit    ,351
2, 2020-01-03 , deposit    ,549
280, 2020-01-03 , deposit    ,273
277, 2020-01-27 , deposit    ,615
434, 2020-01-14 , deposit    ,686
389, 2020-01-04 , deposit    ,632
256, 2020-01-26 , deposit    ,811
216, 2020-01-04 , deposit    ,140
159, 2020-01-04 , deposit    ,669
310, 2020-01-20 , deposit    ,331
495, 2020-01-17 , deposit    ,433
483, 2020-01-18 , deposit    ,481
318, 2020-01-06 , deposit    ,720
314, 2020-01-26 , deposit    ,448
285, 2020-01-22 , deposit    ,360
453, 2020-01-25 , deposit    ,638
424, 2020-01-12 , deposit    ,995
210, 2020-01-19 , deposit    ,708
105, 2020-01-07 , deposit    ,313
177, 2020-01-20 , deposit    ,351
313, 2020-01-29 , deposit    ,710
65, 2020-01-26 , deposit    ,690
124, 2020-01-01 , deposit    ,159
426, 2020-01-15 , deposit    ,282
413, 2020-01-26 , deposit    ,927
386, 2020-01-26 , deposit    ,854
464, 2020-01-17 , deposit    ,953
33, 2020-01-24 , deposit    ,473
113, 2020-01-21 , deposit    ,14
94, 2020-01-01 , deposit    ,902
197, 2020-01-22 , deposit    ,203
164, 2020-01-10 , deposit    ,548
300, 2020-01-21 , deposit    ,672
467, 2020-01-19 , deposit    ,738
7, 2020-01-20 , deposit    ,964
231, 2020-01-20 , deposit    ,122
497, 2020-01-30 , deposit    ,754
211, 2020-01-19 , deposit    ,485
47, 2020-01-22 , deposit    ,203
321, 2020-01-24 , deposit    ,243
83, 2020-01-09 , deposit    ,942
4, 2020-01-07 , deposit    ,458
469, 2020-01-17 , deposit    ,297
329, 2020-01-07 , deposit    ,723
76, 2020-01-04 , deposit    ,641
325, 2020-01-27 , deposit    ,60
35, 2020-01-17 , deposit    ,936
80, 2020-01-25 , deposit    ,795
290, 2020-01-15 , deposit    ,788
181, 2020-01-13 , deposit    ,865
333, 2020-01-08 , deposit    ,537
400, 2020-01-24 , deposit    ,691
149, 2020-01-13 , deposit    ,831
11, 2020-01-19 , deposit    ,60
243, 2020-01-01 , deposit    ,247
347, 2020-01-04 , deposit    ,626
86, 2020-01-03 , deposit    ,12
237, 2020-01-16 , deposit    ,106
229, 2020-01-23 , deposit    ,180
209, 2020-01-23 , deposit    ,160
404, 2020-01-02 , deposit    ,724
220, 2020-01-21 , deposit    ,307
114, 2020-01-19 , deposit    ,743
476, 2020-01-27 , deposit    ,392
273, 2020-01-19 , deposit    ,876
259, 2020-01-04 , deposit    ,744
140, 2020-01-26 , deposit    ,138
208, 2020-01-19 , deposit    ,537
355, 2020-01-21 , deposit    ,367
78, 2020-01-28 , deposit    ,986
232, 2020-01-02 , deposit    ,843
260, 2020-01-26 , deposit    ,899
246, 2020-01-29 , deposit    ,506
24, 2020-01-26 , deposit    ,615
15, 2020-01-25 , deposit    ,379
486, 2020-01-11 , deposit    ,412
340, 2020-01-06 , deposit    ,56
44, 2020-01-19 , deposit    ,71
471, 2020-01-13 , deposit    ,781
459, 2020-01-13 , deposit    ,857
274, 2020-01-02 , deposit    ,801
103, 2020-01-07 , deposit    ,646
101, 2020-01-12 , deposit    ,136
335, 2020-01-14 , deposit    ,663
461, 2020-01-01 , deposit    ,788
34, 2020-01-30 , deposit    ,976
281, 2020-01-06 , deposit    ,616
391, 2020-01-15 , deposit    ,219
45, 2020-01-14 , deposit    ,650
49, 2020-01-04 , deposit    ,432
473, 2020-01-17 , deposit    ,657
448, 2020-01-30 , deposit    ,759
106, 2020-01-24 , deposit    ,456
57, 2020-01-06 , deposit    ,907
151, 2020-01-10 , deposit    ,58
239, 2020-01-18 , deposit    ,771
253, 2020-01-29 , deposit    ,976
163, 2020-01-14 , deposit    ,523
399, 2020-01-13 , deposit    ,780
358, 2020-01-15 , deposit    ,129
31, 2020-01-06 , deposit    ,83
423, 2020-01-18 , deposit    ,164
433, 2020-01-15 , deposit    ,142
170, 2020-01-14 , deposit    ,788
414, 2020-01-08 , deposit    ,445
322, 2020-01-05 , deposit    ,965
186, 2020-01-17 , deposit    ,968
421, 2020-01-09 , deposit    ,205
90, 2020-01-19 , deposit    ,890
379, 2020-01-12 , deposit    ,451
362, 2020-01-28 , deposit    ,416
395, 2020-01-14 , deposit    ,40
482, 2020-01-01 , deposit    ,674
463, 2020-01-21 , deposit    ,881
13, 2020-01-02 , deposit    ,566
42, 2020-01-11 , deposit    ,154
204, 2020-01-28 , deposit    ,749
190, 2020-01-26 , deposit    ,14
228, 2020-01-10 , deposit    ,294
241, 2020-01-01 , deposit    ,161
28, 2020-01-20 , deposit    ,451
336, 2020-01-16 , deposit    ,543
12, 2020-01-13 , deposit    ,202
125, 2020-01-04 , deposit    ,637
360, 2020-01-16 , deposit    ,385
370, 2020-01-13 , deposit    ,363
88, 2020-01-12 , deposit    ,672
446, 2020-01-15 , deposit    ,412
18, 2020-01-17 , deposit    ,757
139, 2020-01-10 , deposit    ,653
127, 2020-01-17 , deposit    ,217
450, 2020-01-11 , deposit    ,890
196, 2020-01-13 , deposit    ,734
54, 2020-01-09 , deposit    ,138
456, 2020-01-07 , deposit    ,753
174, 2020-01-11 , deposit    ,163
51, 2020-01-20 , deposit    ,367
479, 2020-01-23 , deposit    ,320
437, 2020-01-05 , deposit    ,935
175, 2020-01-14 , deposit    ,300
200, 2020-01-29 , deposit    ,997
201, 2020-01-02 , deposit    ,646
29, 2020-01-19 , deposit    ,217
132, 2020-01-10 , deposit    ,14
213, 2020-01-17 , deposit    ,421
79, 2020-01-29 , deposit    ,521
306, 2020-01-27 , deposit    ,402
8, 2020-01-15 , deposit    ,207
294, 2020-01-12 , deposit    ,307
485, 2020-01-03 , deposit    ,524
427, 2020-01-22 , deposit    ,588
222, 2020-01-11 , deposit    ,311
377, 2020-01-18 , deposit    ,637
97, 2020-01-04 , deposit    ,681
283, 2020-01-05 , deposit    ,947
440, 2020-01-03 , deposit    ,45
449, 2020-01-06 , deposit    ,352
251, 2020-01-09 , deposit    ,961
435, 2020-01-01 , deposit    ,627
84, 2020-01-23 , deposit    ,968
498, 2020-01-19 , deposit    ,774
38, 2020-01-21 , deposit    ,367
107, 2020-01-13 , deposit    ,538
183, 2020-01-22 , deposit    ,101
397, 2020-01-06 , deposit    ,973
102, 2020-01-26 , deposit    ,917
182, 2020-01-08 , deposit    ,97
141, 2020-01-15 , deposit    ,934
494, 2020-01-20 , deposit    ,529
252, 2020-01-26 , deposit    ,982
297, 2020-01-25 , deposit    ,469
431, 2020-01-11 , deposit    ,101
324, 2020-01-04 , deposit    ,538
6, 2020-01-11 , deposit    ,831
262, 2020-01-04 , deposit    ,83
341, 2020-01-26 , deposit    ,345
121, 2020-01-01 , deposit    ,335
27, 2020-01-01 , deposit    ,809
248, 2020-01-24 , deposit    ,304
489, 2020-01-15 , deposit    ,556
445, 2020-01-25 , deposit    ,836
145, 2020-01-02 , deposit    ,365
43, 2020-01-28 , deposit    ,318
82, 2020-01-09 , deposit    ,363
315, 2020-01-22 , deposit    ,384
444, 2020-01-10 , deposit    ,669
48, 2020-01-01 , deposit    ,427
425, 2020-01-09 , deposit    ,308
422, 2020-01-25 , deposit    ,356
493, 2020-01-15 , deposit    ,845
457, 2020-01-23 , deposit    ,657
179, 2020-01-05 , deposit    ,19
41, 2020-01-30 , deposit    ,790
39, 2020-01-22 , deposit    ,996
235, 2020-01-07 , deposit    ,723
203, 2020-01-06 , deposit    ,970
119, 2020-01-17 , deposit    ,62
233, 2020-01-03 , deposit    ,187
451, 2020-01-30 , deposit    ,910
392, 2020-01-29 , deposit    ,876
491, 2020-01-08 , deposit    ,18
393, 2020-01-17 , deposit    ,118
115, 2020-01-29 , deposit    ,144
150, 2020-01-04 , deposit    ,69
275, 2020-01-28 , deposit    ,211
438, 2020-01-01 , deposit    ,261
153, 2020-01-18 , deposit    ,754
316, 2020-01-23 , deposit    ,184
349, 2020-01-17 , deposit    ,573
77, 2020-01-08 , deposit    ,120
474, 2020-01-02 , deposit    ,928
224, 2020-01-21 , deposit    ,487
214, 2020-01-14 , deposit    ,325
254, 2020-01-05 , deposit    ,856
189, 2020-01-11 , deposit    ,304
429, 2020-03-02 , deposit    ,256
429, 2020-03-02 , withdrawal ,611
429, 2020-02-14 , purchase   ,128
429, 2020-02-19 , deposit    ,831
429, 2020-02-25 , purchase   ,312
429, 2020-03-02 , purchase   ,164
429, 2020-04-04 , withdrawal ,855
155, 2020-04-04 , purchase   ,501
155, 2020-01-29 , purchase   ,631
155, 2020-03-19 , deposit    ,630
155, 2020-03-28 , deposit    ,494
155, 2020-03-16 , withdrawal ,627
155, 2020-02-20 , purchase   ,751
155, 2020-02-15 , withdrawal ,804
155, 2020-03-29 , deposit    ,890
155, 2020-03-19 , deposit    ,117
155, 2020-03-31 , withdrawal ,100
155, 2020-03-30 , withdrawal ,595
155, 2020-01-24 , purchase   ,717
155, 2020-03-07 , withdrawal ,751
155, 2020-02-29 , purchase   ,899
155, 2020-01-19 , purchase   ,360
155, 2020-03-29 , withdrawal ,494
155, 2020-04-05 , withdrawal ,652
155, 2020-02-04 , purchase   ,295
155, 2020-02-15 , deposit    ,804
398, 2020-01-31 , deposit    ,823
398, 2020-03-24 , deposit    ,635
398, 2020-01-10 , purchase   ,951
398, 2020-01-16 , withdrawal ,195
398, 2020-02-16 , withdrawal ,232
398, 2020-03-24 , deposit    ,874
398, 2020-01-14 , withdrawal ,255
398, 2020-02-27 , purchase   ,874
398, 2020-03-21 , purchase   ,201
398, 2020-03-14 , withdrawal ,817
398, 2020-03-10 , withdrawal ,678
398, 2020-02-14 , purchase   ,902
398, 2020-02-13 , purchase   ,546
398, 2020-03-22 , purchase   ,916
398, 2020-01-23 , deposit    ,523
398, 2020-02-20 , purchase   ,150
398, 2020-01-27 , purchase   ,570
398, 2020-02-02 , purchase   ,38
398, 2020-03-09 , deposit    ,873
255, 2020-02-27 , deposit    ,355
255, 2020-02-16 , purchase   ,479
255, 2020-01-31 , purchase   ,310
255, 2020-03-28 , purchase   ,782
255, 2020-03-10 , deposit    ,105
185, 2020-03-27 , withdrawal ,642
185, 2020-02-14 , withdrawal ,640
185, 2020-02-27 , purchase   ,447
185, 2020-03-08 , purchase   ,401
185, 2020-04-08 , withdrawal ,224
185, 2020-04-22 , deposit    ,884
185, 2020-03-30 , purchase   ,738
185, 2020-04-12 , deposit    ,466
185, 2020-04-12 , deposit    ,825
185, 2020-03-21 , deposit    ,791
185, 2020-04-15 , withdrawal ,917
185, 2020-04-07 , purchase   ,366
185, 2020-04-08 , purchase   ,521
185, 2020-02-04 , purchase   ,193
185, 2020-04-24 , deposit    ,848
185, 2020-02-01 , deposit    ,786
185, 2020-02-10 , withdrawal ,143
185, 2020-04-20 , purchase   ,499
309, 2020-04-09 , deposit    ,740
309, 2020-04-09 , deposit    ,301
309, 2020-02-09 , deposit    ,822
309, 2020-02-02 , purchase   ,898
309, 2020-02-08 , purchase   ,341
309, 2020-01-13 , purchase   ,532
309, 2020-02-17 , purchase   ,812
309, 2020-01-27 , withdrawal ,308
309, 2020-04-05 , withdrawal ,37
309, 2020-03-20 , deposit    ,663
309, 2020-02-15 , purchase   ,69
309, 2020-04-04 , purchase   ,151
309, 2020-03-25 , purchase   ,649
309, 2020-02-19 , deposit    ,96
309, 2020-01-25 , purchase   ,518
309, 2020-03-18 , deposit    ,577
309, 2020-02-22 , withdrawal ,839
312, 2020-03-15 , withdrawal ,994
312, 2020-03-28 , deposit    ,67
312, 2020-02-25 , deposit    ,470
312, 2020-02-05 , purchase   ,942
312, 2020-04-01 , withdrawal ,602
312, 2020-04-15 , withdrawal ,651
312, 2020-02-26 , deposit    ,643
312, 2020-03-13 , purchase   ,794
376, 2020-03-31 , deposit    ,980
376, 2020-03-06 , purchase   ,595
376, 2020-02-27 , deposit    ,25
376, 2020-03-06 , withdrawal ,381
376, 2020-03-27 , deposit    ,815
376, 2020-01-21 , deposit    ,518
376, 2020-01-03 , withdrawal ,77
376, 2020-02-12 , deposit    ,950
376, 2020-01-13 , deposit    ,628
376, 2020-02-21 , deposit    ,892
376, 2020-01-09 , purchase   ,554
376, 2020-01-20 , purchase   ,7
376, 2020-03-12 , withdrawal ,374
376, 2020-02-21 , deposit    ,44
376, 2020-03-18 , deposit    ,427
376, 2020-02-06 , withdrawal ,996
376, 2020-02-29 , withdrawal ,916
376, 2020-01-31 , deposit    ,400
376, 2020-03-12 , withdrawal ,325
376, 2020-02-11 , deposit    ,902
188, 2020-02-24 , deposit    ,699
188, 2020-04-07 , purchase   ,54
188, 2020-01-31 , withdrawal ,72
188, 2020-02-15 , deposit    ,459
188, 2020-03-30 , purchase   ,491
188, 2020-03-10 , deposit    ,587
188, 2020-01-29 , deposit    ,259
188, 2020-03-29 , withdrawal ,314
188, 2020-02-20 , withdrawal ,770
188, 2020-02-11 , deposit    ,809
188, 2020-03-06 , withdrawal ,743
188, 2020-01-22 , withdrawal ,340
188, 2020-01-27 , withdrawal ,632
188, 2020-04-02 , purchase   ,473
138, 2020-02-01 , deposit    ,819
138, 2020-01-23 , deposit    ,758
138, 2020-03-20 , withdrawal ,129
138, 2020-03-22 , purchase   ,750
138, 2020-02-05 , purchase   ,485
138, 2020-02-13 , deposit    ,42
138, 2020-02-24 , withdrawal ,958
138, 2020-04-06 , purchase   ,850
138, 2020-02-07 , deposit    ,604
138, 2020-03-24 , deposit    ,619
138, 2020-03-29 , deposit    ,15
138, 2020-02-29 , purchase   ,64
138, 2020-01-31 , deposit    ,38
138, 2020-02-03 , withdrawal ,954
373, 2020-01-21 , purchase   ,103
373, 2020-04-08 , deposit    ,755
373, 2020-04-12 , purchase   ,875
373, 2020-03-26 , deposit    ,780
373, 2020-04-03 , deposit    ,514
373, 2020-02-15 , purchase   ,216
361, 2020-02-21 , deposit    ,323
361, 2020-02-12 , deposit    ,109
361, 2020-01-12 , withdrawal ,457
169, 2020-03-15 , withdrawal ,3
169, 2020-01-25 , purchase   ,985
169, 2020-01-29 , deposit    ,657
169, 2020-03-09 , deposit    ,737
169, 2020-02-28 , withdrawal ,439
169, 2020-01-14 , withdrawal ,601
169, 2020-03-16 , deposit    ,529
169, 2020-04-08 , deposit    ,897
169, 2020-02-06 , deposit    ,176
169, 2020-03-22 , purchase   ,64
169, 2020-02-19 , withdrawal ,417
169, 2020-02-26 , deposit    ,59
169, 2020-01-19 , purchase   ,268
402, 2020-03-17 , purchase   ,803
402, 2020-02-10 , deposit    ,166
402, 2020-02-18 , purchase   ,45
402, 2020-01-13 , withdrawal ,127
402, 2020-01-19 , deposit    ,805
402, 2020-01-31 , deposit    ,365
60, 2020-03-02 , deposit    ,188
60, 2020-02-01 , deposit    ,857
60, 2020-03-31 , withdrawal ,927
60, 2020-01-26 , deposit    ,113
60, 2020-01-30 , purchase   ,797
60, 2020-03-16 , withdrawal ,674
60, 2020-04-02 , withdrawal ,424
378, 2020-03-21 , deposit    ,353
378, 2020-03-12 , purchase   ,690
378, 2020-02-11 , deposit    ,936
378, 2020-02-14 , withdrawal ,623
378, 2020-01-26 , purchase   ,186
378, 2020-02-05 , deposit    ,392
378, 2020-01-30 , deposit    ,108
378, 2020-01-27 , deposit    ,369
378, 2020-02-26 , deposit    ,145
378, 2020-03-04 , withdrawal ,497
378, 2020-02-26 , deposit    ,428
378, 2020-02-27 , deposit    ,662
383, 2020-03-28 , withdrawal ,725
383, 2020-04-03 , deposit    ,239
383, 2020-04-24 , withdrawal ,141
383, 2020-04-23 , withdrawal ,419
383, 2020-01-29 , withdrawal ,925
383, 2020-04-16 , deposit    ,944
383, 2020-04-19 , deposit    ,907
383, 2020-02-25 , deposit    ,365
383, 2020-03-01 , purchase   ,827
383, 2020-02-01 , deposit    ,606
292, 2020-03-14 , deposit    ,503
292, 2020-01-28 , withdrawal ,218
292, 2020-01-15 , withdrawal ,909
292, 2020-03-23 , withdrawal ,690
292, 2020-01-26 , purchase   ,760
292, 2020-02-23 , purchase   ,46
292, 2020-02-13 , withdrawal ,999
292, 2020-02-27 , withdrawal ,143
292, 2020-01-19 , purchase   ,44
292, 2020-03-02 , withdrawal ,270
292, 2020-01-13 , withdrawal ,289
292, 2020-03-07 , deposit    ,343
292, 2020-01-30 , purchase   ,401
292, 2020-01-19 , withdrawal ,973
63, 2020-03-06 , withdrawal ,151
63, 2020-02-23 , withdrawal ,396
63, 2020-03-12 , purchase   ,618
63, 2020-03-31 , purchase   ,565
63, 2020-02-11 , deposit    ,363
63, 2020-01-25 , purchase   ,225
63, 2020-02-24 , withdrawal ,156
63, 2020-01-16 , purchase   ,88
63, 2020-03-10 , withdrawal ,932
63, 2020-02-08 , purchase   ,432
63, 2020-01-10 , purchase   ,253
63, 2020-03-23 , withdrawal ,727
499, 2020-02-20 , deposit    ,891
499, 2020-03-04 , purchase   ,367
499, 2020-02-17 , withdrawal ,228
499, 2020-02-11 , purchase   ,416
499, 2020-01-20 , withdrawal ,699
499, 2020-01-04 , deposit    ,849
